device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,selected_v,q_final,q_max,policy_metadata_json
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,0.06150943999999999,615.0944,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,0.06150943999999999,615.0944,0.01,100,1,0,100,1.0,0,100,10.0,1.3226329753646127e-12,2.6700000000011217,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 1.3226329753646127e-12, ""q_max"": 2.6700000000011217, ""selected_v"": 10.0}"
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,0.06294944000000001,629.4944,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,0.06294944,629.4943999999999,0.01,100,1,0,100,1.0,0,100,10.0,0.0,1.2299999999999869,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 0.0, ""q_max"": 1.2299999999999869, ""selected_v"": 10.0}"
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,0.05475744,547.5744,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,0.05475744,547.5744,0.05,500,1,0,500,1.0,0,500,10.0,6.568773303072817e-13,2.600000000000656,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.05, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 6.568773303072817e-13, ""q_max"": 2.600000000000656, ""selected_v"": 10.0}"
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,0.061957439999999996,619.5744,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,0.061957439999999996,619.5744,0.05,500,1,0,500,1.0,0,500,100.0,1.7351259318232337e-12,3.4000000000017208,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.048, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 1.7351259318232337e-12, ""q_max"": 3.4000000000017208, ""selected_v"": 100.0}"
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,0.04631744,463.1744,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,0.04635728,463.5728,0.1,1000,4,1,997,0.997,3,997,100.0,0.0,17.700000000000017,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.1, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.0, ""q_max"": 17.700000000000017, ""selected_v"": 100.0}"
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,0.06071743999999999,607.1743999999999,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,0.06071743999999999,607.1743999999999,0.1,1000,1,0,1000,1.0,0,1000,100.0,0.49999999999985945,3.299999999999998,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.0852, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.49999999999985945, ""q_max"": 3.299999999999998, ""selected_v"": 100.0}"
device_0,1,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,0.06150943999999999,615.0944,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,0.06150943999999999,615.0944,0.01,100,1,0,100,1.0,0,100,10.0,1.3226329753646127e-12,2.6700000000011217,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 1.3226329753646127e-12, ""q_max"": 2.6700000000011217, ""selected_v"": 10.0}"
device_0,1,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,0.06294944000000001,629.4944,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,0.06294944,629.4943999999999,0.01,100,1,0,100,1.0,0,100,10.0,0.0,1.2299999999999869,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 0.0, ""q_max"": 1.2299999999999869, ""selected_v"": 10.0}"
device_0,1,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,0.05475744,547.5744,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,0.05475744,547.5744,0.05,500,1,0,500,1.0,0,500,10.0,6.568773303072817e-13,2.600000000000656,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.05, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 6.568773303072817e-13, ""q_max"": 2.600000000000656, ""selected_v"": 10.0}"
device_0,1,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,0.061957439999999996,619.5744,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,0.061957439999999996,619.5744,0.05,500,1,0,500,1.0,0,500,100.0,1.7351259318232337e-12,3.4000000000017208,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.048, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 1.7351259318232337e-12, ""q_max"": 3.4000000000017208, ""selected_v"": 100.0}"
device_0,1,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,0.04631744,463.1744,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,0.04635728,463.5728,0.1,1000,4,1,997,0.997,3,997,100.0,0.0,17.700000000000017,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.1, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.0, ""q_max"": 17.700000000000017, ""selected_v"": 100.0}"
device_0,1,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,0.06071743999999999,607.1743999999999,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,0.06071743999999999,607.1743999999999,0.1,1000,1,0,1000,1.0,0,1000,100.0,0.49999999999985945,3.299999999999998,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.0852, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.49999999999985945, ""q_max"": 3.299999999999998, ""selected_v"": 100.0}"
device_0,1,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P2,0.06019471999999999,601.9472,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P3,0.06020799999999999,602.0799999999999,0.01,100,1,0,100,0.99,1,99,10.0,1.3137511911676114e-12,2.6700000000012594,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 1.3137511911676114e-12, ""q_max"": 2.6700000000012594, ""selected_v"": 10.0}"
device_0,1,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P2,0.06163471999999999,616.3471999999999,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P3,0.06163471999999999,616.3471999999999,0.01,100,1,0,100,1.0,0,100,10.0,0.059999999999911326,1.2299999999999993,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 0.059999999999911326, ""q_max"": 1.2299999999999993, ""selected_v"": 10.0}"
device_0,1,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P2,0.05344272,534.4272,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P3,0.053456,534.56,0.05,500,1,0,500,0.998,1,499,10.0,6.222383719389768e-13,2.6000000000006187,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.05, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 6.222383719389768e-13, ""q_max"": 2.6000000000006187, ""selected_v"": 10.0}"
device_0,1,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P2,0.06064272,606.4272,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P3,0.06064271999999998,606.4271999999999,0.05,500,1,0,500,1.0,0,500,1000.0,0.2999999999930823,25.749999999999794,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.0476, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 0.2999999999930823, ""q_max"": 25.749999999999794, ""selected_v"": 1000.0}"
device_0,1,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P2,0.04500272,450.02720000000005,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P3,0.04506912,450.6912,0.1,1000,4,2,996,0.995,5,995,100.0,0.0,17.699999999999775,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.1, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.0, ""q_max"": 17.699999999999775, ""selected_v"": 100.0}"
device_0,1,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P2,0.05940272,594.0272,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P3,0.05940272,594.0272,0.1,1000,1,0,1000,1.0,0,1000,100.0,0.8999999999995174,3.299999999999999,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.0857, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.8999999999995174, ""q_max"": 3.299999999999999, ""selected_v"": 100.0}"
device_0,1,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P2,0.06019471999999999,601.9472,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P3,0.06020799999999999,602.0799999999999,0.01,100,1,0,100,0.99,1,99,10.0,1.3137511911676114e-12,2.6700000000012594,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 1.3137511911676114e-12, ""q_max"": 2.6700000000012594, ""selected_v"": 10.0}"
device_0,1,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P2,0.06163471999999999,616.3471999999999,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,P3,0.06163471999999999,616.3471999999999,0.01,100,1,0,100,1.0,0,100,10.0,0.059999999999911326,1.2299999999999993,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 0.059999999999911326, ""q_max"": 1.2299999999999993, ""selected_v"": 10.0}"
device_0,1,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P2,0.05344272,534.4272,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P3,0.053456,534.56,0.05,500,1,0,500,0.998,1,499,10.0,6.222383719389768e-13,2.6000000000006187,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.05, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 6.222383719389768e-13, ""q_max"": 2.6000000000006187, ""selected_v"": 10.0}"
device_0,1,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P2,0.06064272,606.4272,0.05,500,1,0,500,1.0,0,500,,,,"{""budget"": 500}"
device_0,1,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,P3,0.06064271999999998,606.4271999999999,0.05,500,1,0,500,1.0,0,500,1000.0,0.2999999999930823,25.749999999999794,"{""calibrated_violation_rate"": 0.05, ""candidate_rates"": {""10.0"": 0.0476, ""100.0"": 0.05, ""1000.0"": 0.05, ""10000.0"": 0.05}, ""horizon_budget_cap"": 500, ""q_final"": 0.2999999999930823, ""q_max"": 25.749999999999794, ""selected_v"": 1000.0}"
device_0,1,1702,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P2,0.04500272,450.02720000000005,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1702,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P3,0.04506912,450.6912,0.1,1000,4,2,996,0.995,5,995,100.0,0.0,17.699999999999775,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.1, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.0, ""q_max"": 17.699999999999775, ""selected_v"": 100.0}"
device_0,1,1702,2.0,72.09,0.1,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P2,0.05940272,594.0272,0.1,1000,1,0,1000,1.0,0,1000,,,,"{""budget"": 1000}"
device_0,1,1702,2.0,72.09,0.1,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,P3,0.05940272,594.0272,0.1,1000,1,0,1000,1.0,0,1000,100.0,0.8999999999995174,3.299999999999999,"{""calibrated_violation_rate"": 0.1, ""candidate_rates"": {""10.0"": 0.0857, ""100.0"": 0.1, ""1000.0"": 0.1, ""10000.0"": 0.1}, ""horizon_budget_cap"": 1000, ""q_final"": 0.8999999999995174, ""q_max"": 3.299999999999999, ""selected_v"": 100.0}"
device_0,1,1703,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,P2,0.06135008,613.5008,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
device_0,1,1703,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,P3,0.06136335999999999,613.6335999999999,0.01,100,1,0,100,0.99,1,99,10.0,1.325297510623713e-12,2.670000000001272,"{""calibrated_violation_rate"": 0.01, ""candidate_rates"": {""10.0"": 0.01, ""100.0"": 0.01, ""1000.0"": 0.01, ""10000.0"": 0.01}, ""horizon_budget_cap"": 100, ""q_final"": 1.325297510623713e-12, ""q_max"": 2.670000000001272, ""selected_v"": 10.0}"
device_0,1,1703,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,P2,0.06279008,627.9008,0.01,100,1,0,100,1.0,0,100,,,,"{""budget"": 100}"
