device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,check,passed,detail,severity
device_0,1.0,1701.0,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2_le_P2prime,True,0.06071744 <= 0.06071744,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2prime_le_P3,True,0.06071744 <= 0.06071744,diagnostic
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2_le_P0,True,0.06071744 <= 0.06269896,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P0_le_P1,True,0.06269896 <= 0.06319744,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P2_le_P2prime,True,0.06150944 <= 0.06150944,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P2prime_le_P3,True,0.06150944 <= 0.06150944,diagnostic
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P2_le_P0,True,0.06150944 <= 0.06255856,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P0_le_P1,True,0.06255856 <= 0.06319744,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P0_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P2_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P2prime_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P3_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P2_le_P2prime,True,0.06294944 <= 0.06294944,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P2prime_le_P3,True,0.06294944 <= 0.06294944,diagnostic
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P2_le_P0,True,0.06294944 <= 0.06315528,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,energy_P0_le_P1,True,0.06315528 <= 0.06319744,required
