N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,check,passed,detail,severity
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J1_le_I1,True,"{""I1"": 0.16708465372330242, ""I2"": 0.08728414619753487, ""J1"": 0.14099617403684653, ""J2"": 0.07946530188054841}",required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_I2_le_I1,True,"{""I1"": 0.16708465372330242, ""I2"": 0.08728414619753487, ""J1"": 0.14099617403684653, ""J2"": 0.07946530188054841}",required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I1_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_0,True,count=34 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_1,True,count=32 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J1_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_0,True,count=34 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_1,True,count=32 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I2_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J2_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_0,True,count=1500 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_1,True,count=1500 budget=1500,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,decomposition_total_identity,True,error_pp=-7.105427357601002e-15,required
2.0,independent,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_I2,True,"{""I1"": 0.16669972361350394, ""I2"": 0.08674962586986106, ""J1"": 0.14058511037810278, ""J2"": 0.07866259970570998}",required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_J1,True,"{""I1"": 0.16669972361350394, ""I2"": 0.08674962586986106, ""J1"": 0.14058511037810278, ""J2"": 0.07866259970570998}",required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J1_le_I1,True,"{""I1"": 0.16669972361350394, ""I2"": 0.08674962586986106, ""J1"": 0.14058511037810278, ""J2"": 0.07866259970570998}",required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_I2_le_I1,True,"{""I1"": 0.16669972361350394, ""I2"": 0.08674962586986106, ""J1"": 0.14058511037810278, ""J2"": 0.07866259970570998}",required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I1_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_0,True,count=34 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_1,True,count=30 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J1_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_0,True,count=34 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_1,True,count=30 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I2_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J2_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_0,True,count=1500 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_1,True,count=1500 budget=1500,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,decomposition_total_identity,True,error_pp=7.105427357601002e-15,required
2.0,independent,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_I2,True,"{""I1"": 0.1697505756995429, ""I2"": 0.0893117805142911, ""J1"": 0.15606650371491856, ""J2"": 0.08582169922054536}",required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_J1,True,"{""I1"": 0.1697505756995429, ""I2"": 0.0893117805142911, ""J1"": 0.15606650371491856, ""J2"": 0.08582169922054536}",required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J1_le_I1,True,"{""I1"": 0.1697505756995429, ""I2"": 0.0893117805142911, ""J1"": 0.15606650371491856, ""J2"": 0.08582169922054536}",required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_I2_le_I1,True,"{""I1"": 0.1697505756995429, ""I2"": 0.0893117805142911, ""J1"": 0.15606650371491856, ""J2"": 0.08582169922054536}",required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I1_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_0,True,count=38 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_1,True,count=38 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J1_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_0,True,count=38 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_1,True,count=38 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I2_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J2_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_0,True,count=1500 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_1,True,count=1500 budget=1500,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,decomposition_total_identity,True,error_pp=7.105427357601002e-15,required
2.0,common,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
