N,channel_sync,rho,seed,device,device_index,trace_sha256,p_bg,p_gb,device_index_entropy,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
2,common,0.0,1702,device_1,1,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
2,common,0.0,1703,device_0,0,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
2,common,0.0,1703,device_1,1,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
2,common,0.75,1701,device_0,0,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
2,common,0.75,1701,device_1,1,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
2,common,0.75,1702,device_0,0,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
2,common,0.75,1702,device_1,1,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
2,common,0.75,1703,device_0,0,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
2,common,0.75,1703,device_1,1,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
2,common,0.975,1701,device_0,0,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
2,common,0.975,1701,device_1,1,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
2,common,0.975,1702,device_0,0,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
2,common,0.975,1702,device_1,1,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
2,common,0.975,1703,device_0,0,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
2,common,0.975,1703,device_1,1,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
4,independent,0.0,1701,device_0,0,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,independent,0.0,1701,device_1,1,614e85fa4d6120539b63632dc5ddaff4b99f6a363d448e0cfa08132f134e34d8,0.8,0.2,1,0.2069,-0.008604469875060661,0.0,0.25,0.721764704956795,0.9992014319136636,1.3819584317286333,0
4,independent,0.0,1701,device_2,2,2fa87752f95a126185782e0847e7fdf3f73d655fe5a8f457e70c7d2d6740ce19,0.8,0.2,2,0.1962,-0.00252558978942565,0.0,0.25,0.730081315537565,0.9968136932638152,1.3789300166513594,0
4,independent,0.0,1701,device_3,3,e7f812283e52becf7a5da02b2c9264e29a39f517e10b1e0dabd0c030c167b1ef,0.8,0.2,3,0.1946,-0.017692844004053992,0.0,0.25,0.7258691823849531,1.0016449412937267,1.3849992567465852,0
4,independent,0.0,1702,device_0,0,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,independent,0.0,1702,device_1,1,201d29cf97407684d4aea04c35b54586d783780e944fee98a9895788f50ea9ae,0.8,0.2,1,0.2003,0.006716975562169496,0.0,0.25,0.7246232248639861,1.0061149457123375,1.3803526973167801,0
4,independent,0.0,1702,device_2,2,5be99e5f6b2e523d7acba62686e11f388beb77309849e6c32cb202520e466972,0.8,0.2,2,0.1994,-0.007920137677241567,0.0,0.25,0.7208107162819725,0.9980653307498552,1.3766768631317081,0
4,independent,0.0,1702,device_3,3,cff04430139e1bf589fcee611ef62276c7abf2fb07afac151c05b940c0a0f796,0.8,0.2,3,0.1994,-0.0021577842152455725,0.0,0.25,0.7291275284296929,0.992773635643641,1.3842926171130718,0
4,independent,0.0,1703,device_0,0,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
4,independent,0.0,1703,device_1,1,a3c1adbeaf0835d3c8906ceaa7370901a1c38a0371cea9ff3d215f57dbaf8e5d,0.8,0.2,1,0.1988,0.006245048110657853,0.0,0.25,0.7196703104117759,0.9999088835651472,1.3855908311461957,0
4,independent,0.0,1703,device_2,2,75cc758091406076bbaa6ce0454d45ecd103bc8dac6710212461a549f2fa9c4d,0.8,0.2,2,0.21,-0.0017086524228650023,0.0,0.25,0.7301900760850489,1.0047897314211993,1.384303063414696,0
4,independent,0.0,1703,device_3,3,d65d69fd835f139d4e6ff67c5a466979c29ae9f47db418b4dcbcd7b169d4bd17,0.8,0.2,3,0.1969,0.019139817861789334,0.0,0.25,0.7289879255551127,0.9998306825267855,1.3746748932726742,0
4,independent,0.75,1701,device_0,0,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
4,independent,0.75,1701,device_1,1,f52577f93502247ffaacb672bb2c7eaaab64511a9ea227d41e7db0441ee49315,0.2,0.05,1,0.2015,0.747037934429653,0.75,0.25,0.7222710996097811,1.000230794938011,1.3800549915385458,0
4,independent,0.75,1701,device_2,2,88c6b4702314591b179c39503cbc9245794d39d18a11ec600999cd7523916254,0.2,0.05,2,0.2039,0.7402814201751738,0.75,0.25,0.7251831818902417,1.0008981630488223,1.3838700158849426,0
4,independent,0.75,1701,device_3,3,8ec188c15e0113324685a75868c2c326bab778cdc34bd592d6bf40a8ebf51e9b,0.2,0.05,3,0.1946,0.735208444977002,0.75,0.25,0.7246507228515883,1.0007525555429533,1.3765662745534626,0
4,independent,0.75,1702,device_0,0,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
4,independent,0.75,1702,device_1,1,9fc763d309410c3652254683b800fc8d7dd8a5c3c0806772904b0035b239908d,0.2,0.05,1,0.2098,0.7605253597636817,0.75,0.25,0.7242583158518097,0.9973995321585252,1.3640805034203343,0
4,independent,0.75,1702,device_2,2,4e97f887a203d2fe21bd5a7160945753c0aa8e7893e07c76015a9475e9e0c010,0.2,0.05,2,0.209,0.769530381776923,0.75,0.25,0.7296006626088599,0.9999169110810994,1.374414701969857,0
4,independent,0.75,1702,device_3,3,867cdbd874ac55e6e78ded772b37401b08452f497bb540665d72a7f3a10da43e,0.2,0.05,3,0.207,0.7474369562348688,0.75,0.25,0.7264432833376383,1.0040484185535452,1.3771314162183526,0
4,independent,0.75,1703,device_0,0,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
4,independent,0.75,1703,device_1,1,103622f50db0300c832cb7e1948be1451b9d8c21a7ca5253b48faedaa19c0238,0.2,0.05,1,0.1945,0.7504244166784237,0.75,0.25,0.7241986605046327,1.0010411635269314,1.380515320290274,2
4,independent,0.75,1703,device_2,2,cdacfbede0ca7c0f0a6963634a254459a1bfa7bc5dd8a203aee2e2d7fbf54695,0.2,0.05,2,0.206,0.7597208447421292,0.75,0.25,0.7279228490262443,1.003915906165092,1.3711922458692356,0
4,independent,0.75,1703,device_3,3,4f33445493a0c06c85658312932e43a688e2b94b6f49c0088114e6f3f4925ebe,0.2,0.05,3,0.2001,0.7494626655164539,0.75,0.25,0.7228524435334673,0.9988460652819398,1.3827732054864368,1
4,independent,0.975,1701,device_0,0,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
4,independent,0.975,1701,device_1,1,ffbaef91fdfa40fe8e421c63b89d66f9d87d680469f519a890e4f39b61963dea,0.020000000000000018,0.0050000000000000044,1,0.1964,0.9645172533100475,0.975,0.25,0.7232352031192512,0.9998033596181531,1.3786522980586606,0
4,independent,0.975,1701,device_2,2,749997a93fbd07c191fd4dd5364e64f8325c99015cb84c56b3d5cf4c5af53eaa,0.020000000000000018,0.0050000000000000044,2,0.1917,0.9770844960229454,0.975,0.25,0.7287616511100039,0.9981786962930879,1.3669042058736065,1
4,independent,0.975,1701,device_3,3,bd37d989e3b1ca1dfc65987fc631e02d18beda79d361a720852c863d70bb9c20,0.020000000000000018,0.0050000000000000044,3,0.1938,0.9753532964740108,0.975,0.25,0.7255845004024614,1.0044607475119336,1.3779567186671653,1
4,independent,0.975,1702,device_0,0,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
4,independent,0.975,1702,device_1,1,a74722e3c8e46a4201263908b7399cf9426a5269f8e59672caa441f44dafab64,0.020000000000000018,0.0050000000000000044,1,0.1964,0.9759131539250144,0.975,0.25,0.7294909690803126,1.0060854992617447,1.3788887736353899,2
4,independent,0.975,1702,device_2,2,0944d81e1110d1d5ae51f7342fdaa60f6a6ca11ff3d68cbe534671479ce3d87e,0.020000000000000018,0.0050000000000000044,2,0.2027,0.9740112841912655,0.975,0.25,0.7282016141213391,1.001366750133196,1.3669331711480066,2
4,independent,0.975,1702,device_3,3,ba8e3477bb050776f5e482941fcc78d542b3c50365a7a389d08c2b7e6fb6c3c9,0.020000000000000018,0.0050000000000000044,3,0.2082,0.9760343972479407,0.975,0.25,0.7264119627596505,1.0040752606614787,1.37940634639989,0
4,independent,0.975,1703,device_0,0,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
4,independent,0.975,1703,device_1,1,6b9aef555c2d97801100b5bef0a3518b7d55c8965cc2f5dc435ba9bc6223c304,0.020000000000000018,0.0050000000000000044,1,0.1966,0.9740415268198739,0.975,0.25,0.7255645999972841,1.0077450853220977,1.380983645642075,2
4,independent,0.975,1703,device_2,2,934c1628811564e3b833e836fd1a074b80c536b2980a71678511cf21317355d7,0.020000000000000018,0.0050000000000000044,2,0.2078,0.9714485039281677,0.975,0.25,0.7273704285688186,0.9985457295250592,1.3794540547466763,1
4,independent,0.975,1703,device_3,3,f084bc9a2f5f376c14480b83116fa0cd4a11fa8d6d0ae217e39ea00cbdefb243,0.020000000000000018,0.0050000000000000044,3,0.2092,0.9727983240157269,0.975,0.25,0.7270185143172612,0.9999748262619952,1.3820337600291424,8
4,common,0.0,1701,device_0,0,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1701,device_1,1,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
